id	locationID	locality	establishmentMeans
934	1340	Labrador	
935	1341	Labrador	
937	1342	Labrador	
940	1343	Labrador	
941	1344	Labrador	
943	1345	Labrador	
944	1346	Labrador	
946	1347	Labrador	
947	1348	Labrador	
948	1349	Labrador	
951	1350	Labrador	
953	1351	Labrador	
955	1352	Labrador	
959	1353	Labrador	
962	1354	Labrador	
963	1355	Labrador	
964	1356	Labrador	
965	1357	Labrador	
966	1358	Labrador	
967	1359	Labrador	
977	1360	Labrador	
978	1361	Labrador	
979	1362	Labrador	
984	1363	Labrador	
985	1364	Labrador	
986	1365	Labrador	
987	1366	Labrador	
988	1367	Labrador	
989	1368	Labrador	
992	1369	Labrador	
993	1370	Labrador	
995	1371	Labrador	
997	1372	Labrador	
1007	1373	Labrador	
1008	1374	Labrador	
1009	1375	Labrador	
1013	1376	Labrador	
1015	1377	Labrador	
1016	1378	Labrador	
1017	1379	Labrador	
1019	1380	Labrador	
1	1381	Labrador	
2	1382	Labrador	
3	1383	Labrador	
4	1384	Labrador	
16	1385	Labrador	
22	1386	Labrador	
24	1387	Labrador	
34	1388	Labrador	
35	1389	Labrador	
40	1390	Labrador	
43	1391	Labrador	
44	1392	Labrador	
45	1393	Labrador	
48	1394	Labrador	
53	1395	Labrador	
55	1396	Labrador	
56	1397	Labrador	
57	1398	Labrador	
59	1399	Labrador	
60	1400	Labrador	
61	1401	Labrador	
62	1402	Labrador	
64	1403	Labrador	
66	1404	Labrador	
70	1405	Labrador	
71	1406	Labrador	
75	1407	Labrador	
78	1408	Labrador	
82	1409	Labrador	
83	1410	Labrador	
85	1411	Labrador	
89	1412	Labrador	
90	1413	Labrador	
91	1414	Labrador	
94	1415	Labrador	
95	1416	Labrador	
97	1417	Labrador	
98	1418	Labrador	
99	1419	Labrador	
100	1420	Labrador	
107	1421	Labrador	
108	1422	Labrador	
110	1423	Labrador	
113	1424	Labrador	
114	1425	Labrador	
115	1426	Labrador	
118	1427	Labrador	
119	1428	Labrador	
125	1429	Labrador	
126	1430	Labrador	
127	1431	Labrador	
